pnode_name,mean,std
AECO,49.207597307613284,66.5741921244649
AEP,52.59270671898185,54.609911492201825
APS,61.4544708245634,83.63344791021417
ATSI,51.208036099417875,50.56852657181179
BGE,77.4919545382947,124.35533443690157
COMED,40.13970470825248,44.537871731663095
DAY,54.006823086862234,54.87075334619836
DEOK,53.02620448407716,53.24655091096518
DOM,76.45490452927747,109.15453971717882
DPL,55.41724615820112,76.96008933309125
DUQ,49.38705362983678,47.388768202325615
EKPC,51.19051599942929,53.94373359182709
JCPL,49.63475003184568,67.01558592441762
METED,49.76135073359205,70.78045522764377
MID-ATL/APS,67.4204549748887,107.89039755147498
OVEC,50.76213910603813,50.52761734725611
PECO,48.427509380093596,65.86331594962162
PENELEC,54.7885208561808,58.75992735404928
PEPCO,75.75080716310924,124.8836134895869
PJM-RTO,58.75729169113115,79.33776854085457
PPL,47.188041562721146,70.13941535638875
PSEG,50.53831300639197,66.15221831435241
RECO,53.831020105124985,63.676682163818086
